15.196192	1.000000
9.205970	2.000000
5.989803	3.000000
4.207970	4.000000
3.175735	5.000000
2.538680	6.000000
2.116050	7.000000
1.813474	8.000000
1.581162	9.000000
1.393099	10.000000
1.234998	11.000000
1.098798	12.000000
0.979693	13.000000
0.874550	14.000000
0.781125	15.000000
0.697966	16.000000
0.624192	17.000000
0.557745	18.000000
0.498880	19.000000
0.445966	20.000000
0.398840	21.000000
0.356208	22.000000
0.318305	23.000000
0.284835	24.000000
0.254598	25.000000
0.227367	26.000000
0.203483	27.000000
0.182037	28.000000
0.162976	29.000000
0.145401	30.000000
0.130341	31.000000
0.116491	32.000000
0.104219	33.000000
0.093036	34.000000
0.083112	35.000000
0.073583	36.000000
0.066924	37.000000
0.059636	38.000000
0.052875	39.000000
0.047393	40.000000
0.042803	41.000000
0.037616	42.000000
0.032902	43.000000
0.031114	44.000000
0.027010	45.000000
0.024973	46.000000
0.021212	47.000000
0.018941	48.000000
0.016255	49.000000
0.015809	50.000000
0.013176	51.000000
0.012034	52.000000
0.009528	53.000000
0.008891	54.000000
0.008731	55.000000
0.007791	56.000000
0.007227	57.000000
0.004196	58.000000
0.005628	59.000000
0.005482	60.000000
0.004237	61.000000
0.002396	62.000000
0.001045	63.000000
0.001633	64.000000
0.003831	65.000000
0.003128	66.000000
0.001780	68.000000
0.000425	69.000000
0.005406	70.000000
0.001926	71.000000
0.000654	72.000000
0.006437	76.000000
0.000186	77.000000
0.000553	78.000000
0.007082	79.000000
0.000475	84.000000
0.000702	86.000000
0.006420	90.000000
0.000631	99.000000
