1	7.2	57	84	2.09	193	2.336
2	5.6	54	69	1.2	94	2.0393
3	7.9	52	86	1.66	197	2.3446
4	7	68	44	1.51	94	2.0393
5	8.3	60	118	3.1	502	2.7417
6	6.3	33	75	0.92	73	1.9381
7	6.2	41	66	1.41	73	1.9381
8	4.2	63	84	2.07	120	2.1388
9	6.5	62	96	2	195	2.3404
10	4.2	71	97	1.9	196	2.3425
11	6.8	79	86	3.63	322	2.5522
12	7.2	46	46	1.36	58	1.8479
13	6.3	91	117	3.45	823	3.9541
14	6.3	78	91	3.45	323	2.5535
15	8.2	57	70	2.7	161	2.2603
16	7.9	69	71	1.9	210	2.3715
17	6.5	80	31	2.48	80	1.9745
18	4.2	46	44	1.05	27	1.5665
19	7.8	63	77	3.06	208	2.3674
20	6.1	52	90	2.52	165	2.2705
21	5.7	47	79	2.35	102	2.0724
22	3.9	78	56	0.62	129	2.1685
23	7.2	24	71	1.6	63	1.8801
24	6.3	62	89	2.9	213	2.3774
25	6.8	54	103	2.45	269	2.4759
26	6.3	56	76	3	137	2.1934
27	5.7	47	81	1.95	121	2.2927
28	11.7	71	93	5.09	567	2.7939
29	5.7	49	59	2.21	65	1.8923
30	6.3	71	62	2.08	171	2.2854
31	3.7	59	68	0.24	64	1.8863
32	9.2	40	26	2.02	51	1.7984
33	5.5	54	76	3	109	2.0995
34	6.3	67	96	2.8	288	2.5048
35	5.9	53	73	2.14	108	2.0957
36	5.8	46	102	2.1	177	2.2998
37	3.1	69	89	1.55	111	2.1069
38	4.8	3	122	2.35	113	2.1142
39	5.3	56	79	1.95	144	2.214
40	5.9	47	91	1.31	141	2.2053
41	5.7	44	75	1.34	88	2.0127
42	4.1	23	102	0.8	68	1.9101
43	9.3	81	91	5.9	476	2.719
44	7	51	80	2.35	146	2.2197
45	3.9	72	96	0.98	184	2.316
46	7	35	99	2.5	116	2.1249
47	1.2	68	109	2.55	304	2.5278
48	5.3	81	104	3.6	391	2.6349
49	5.6	62	80	2.36	151	2.2337
50	4.4	77	106	4.05	303	2.5264
51	7.1	72	49	1.45	117	2.1284
52	6.9	80	43	0.71	118	2.1319
53	6.9	25	88	1.83	191	2.3317
54	9.3	73	75	2.7	306	2.5305
